7.36,17.4,1.2,6.4,17.4,1.2,7.6,17.4,0
7.36,17.4,2,7.36,17.4,1.2,7.6,17.4,0
7.6,17.4,2.2,7.36,17.4,2,7.6,17.4,0
7.6,17.4,2.2,7.6,17.4,0,7.6,17.6,1.2
7.6,17.6,1.2,7.6,17.6,2.2,7.6,17.4,2.2
7.6,17.6,2.2,6.4,17.6,2.2,7.6,17.4,2.2
6.4,17.6,2.2,6.4,17.4,2.2,7.6,17.4,2.2
6.4,17.4,2.2,6.4,17.4,2,7.6,17.4,2.2
6.4,17.4,2,7.36,17.4,2,7.6,17.4,2.2
6.4,17.6,2,7.36,17.4,2,6.4,17.4,2
6.4,17.4,2,6.4,17.4,2.2,6.4,17.6,2
6.4,17.6,2,6.4,17.4,2.2,6.4,17.6,2.2
6.4,17.6,2,6.4,17.6,2.2,7.36,17.6,2
7.36,17.6,2,7.36,17.4,2,6.4,17.6,2
7.36,17.6,2,7.36,17.6,1.2,7.36,17.4,2
7.36,17.4,2,7.36,17.6,1.2,7.36,17.4,1.2
7.36,17.4,1.2,7.36,17.6,1.2,6.4,18.6,1.2
6.4,17.4,1.2,7.36,17.4,1.2,6.4,18.6,1.2
6.4,18.6,0,6.4,17.4,1.2,6.4,18.6,1.2
6.4,18.6,0,6.4,18.6,1.2,7.6,18.6,0
7.6,17.4,0,6.4,18.6,0,7.6,18.6,0
7.6,17.6,1.2,7.6,17.4,0,7.6,18.6,0
7.6,18.6,1.2,7.6,17.6,1.2,7.6,18.6,0
7.6,18.6,0,6.4,18.6,1.2,7.6,18.6,1.2
6.4,18.6,1.2,7.36,17.6,1.2,7.6,18.6,1.2
7.6,18.6,1.2,7.36,17.6,1.2,7.6,17.6,1.2
7.36,17.6,2,7.6,17.6,1.2,7.36,17.6,1.2
7.36,17.6,2,7.6,17.6,2.2,7.6,17.6,1.2
7.36,17.6,2,6.4,17.6,2.2,7.6,17.6,2.2
6.4,17.4,0,6.4,18.6,0,7.6,17.4,0
6.4,17.4,0,6.4,17.4,1.2,6.4,18.6,0
6.4,16,1.2,6.4,16,0,7.6,16,0
7.36,16,1.2,6.4,16,1.2,7.6,16,0
7.36,16,2,7.36,16,1.2,7.6,16,0
7.6,16,2.2,7.36,16,2,7.6,16,0
7.6,16,2.2,7.6,16,0,7.6,16.2,1.2
7.6,16.2,1.2,7.6,16.2,2.2,7.6,16,2.2
7.6,16.2,2.2,6.4,16.2,2.2,7.6,16,2.2
6.4,16.2,2.2,6.4,16,2.2,7.6,16,2.2
6.4,16,2.2,6.4,16,2,7.6,16,2.2
6.4,16,2,7.36,16,2,7.6,16,2.2
6.4,16.2,2,7.36,16,2,6.4,16,2
6.4,16,2,6.4,16,2.2,6.4,16.2,2
6.4,16.2,2,6.4,16,2.2,6.4,16.2,2.2
6.4,16.2,2,6.4,16.2,2.2,7.36,16.2,2
7.36,16.2,2,7.36,16,2,6.4,16.2,2
7.36,16.2,2,7.36,16.2,1.2,7.36,16,2
7.36,16,2,7.36,16.2,1.2,7.36,16,1.2
7.36,16,1.2,7.36,16.2,1.2,6.4,17.2,1.2
6.4,16,1.2,7.36,16,1.2,6.4,17.2,1.2
6.4,17.2,0,6.4,16,1.2,6.4,17.2,1.2
6.4,17.2,0,6.4,17.2,1.2,7.6,17.2,0
7.6,16,0,6.4,17.2,0,7.6,17.2,0
7.6,16.2,1.2,7.6,16,0,7.6,17.2,0
7.6,17.2,1.2,7.6,16.2,1.2,7.6,17.2,0
7.6,17.2,0,6.4,17.2,1.2,7.6,17.2,1.2
6.4,17.2,1.2,7.36,16.2,1.2,7.6,17.2,1.2
7.6,17.2,1.2,7.36,16.2,1.2,7.6,16.2,1.2
7.36,16.2,2,7.6,16.2,1.2,7.36,16.2,1.2
7.36,16.2,2,7.6,16.2,2.2,7.6,16.2,1.2
7.36,16.2,2,6.4,16.2,2.2,7.6,16.2,2.2
6.4,16,0,6.4,17.2,0,7.6,16,0
6.4,16,0,6.4,16,1.2,6.4,17.2,0
5,16,1.2,5,16,0,6.2,16,0
5.96,16,1.2,5,16,1.2,6.2,16,0
